areasymbol	musym	muname	MUKEY	dom_cond_order	dom_cond_pct_order	dom_cond_suborder	dom_cond_pct_suborder
WI053	30A	"Adder muck, 0 to 1 percent slopes, frequently flooded"	2505885	Histosols	93	Saprists	93
WI053	328A	"Rowley silt loam, 0 to 3 percent slopes"	2501420	Mollisols	97	Udolls	92
WI053	336A	"Toddville silt loam, 0 to 3 percent slopes"	2498524	Mollisols	93	Udolls	93
WI053	37A	"Loxley peat, lake terrace, 0 to 1 percent slopes"	2561558	Histosols	95	Saprists	95
WI053	382B	"Bertrand silt loam, 1 to 6 percent slopes"	2495905	Alfisols	95	Udalfs	95
WI053	383B	"Mahtomedi loamy sand, 0 to 6 percent slopes"	2498529	Entisols	87	Psamments	87
WI053	386A	"Jackson silt loam, 0 to 2 percent slopes"	2498530	Alfisols	95	Udalfs	95
WI053	386B	"Jackson silt loam, 2 to 6 percent slopes"	2498532	Alfisols	95	Udalfs	95
WI053	424B	"Merit silt loam, 1 to 6 percent slopes"	2505892	Alfisols	100	Udalfs	100
WI053	433B	"Forkhorn sandy loam, 2 to 6 percent slopes"	2505893	Alfisols	98	Udalfs	98
